FName(String),LName(String),Gender(String),AreaCode(String),Phone(String),City(String),State(String),Zip(String),MaritalStatus(String),HasChild(String),Salary(Integer),Rate(Double),SingleExemp(String),MarriedExemp(String),ChildExemp(String)
Marcella,Peter,M,302,1000000,DOVER,DE,19903,S,Y,45500,4.961364,110,0,110
Lee,Maguire,M,562,1000000,HAYWARD,CA,94542,S,Y,41000,9.187391,87,0,272
Nicolai,Ber,F,601,1000000,SHELBY,MS,38774,M,N,92500,5.0,0,12000,0
Takushi,Desikan,M,402,1000002,CRESTON,NE,68631,M,N,59000,6.84,0,206,0
Toshihisa,Marinova,F,586,1000000,BUCKLEY,MI,49620,M,N,71500,3.9,0,6200,0
Xianging,Furegati,F,386,1000000,MONTICELLO,FL,32344,S,Y,31000,0.0,0,0,0
Lia,Nola,M,939,1000000,SAN JUAN,PR,936,M,Y,10000,0.0,0,0,0
Ra'ed,Jobusch,F,713,1000000,EL PASO,TX,88575,S,Y,33500,0.0,0,0,0
Lynette,Haselbock,M,928,1000000,WICKENBURG,AZ,85358,M,N,72500,3.83875,0,4200,0
Ambrose,Treseler,F,202,1000001,WASHINGTON,DC,20442,M,N,67500,9.0,0,2740,0
Nat,Proietti,M,907,1000001,METLAKATLA,AK,99926,S,Y,97500,0.0,0,0,0
Elin,Piancastelli,M,408,1000000,PASADENA,CA,91184,S,Y,55000,9.3,87,0,272
Svetozara,Dew,M,207,1000002,SURRY,ME,4684,S,Y,55000,8.5,2850,0,2850
Hongzhong,Drettakis,M,318,1000000,CULLEN,LA,71021,M,Y,88000,6.0,0,9000,1000
Katerina,Dargam,M,269,1000000,HAZEL PARK,MI,48030,S,Y,5500,3.9,3100,0,3100
Minerva,Notz,M,405,1000000,SHAWNEE,OK,74801,M,N,87500,6.25,0,2000,0
Roberta,Gibbard,M,787,1000001,CAROLINA,PR,985,M,N,12000,0.0,0,0,0
Myuhng,Varpaaniemi,F,702,1000001,ELKO,NV,89803,S,Y,46000,0.0,0,0,0
Kemal,Prati,F,910,1000000,ENGELHARD,NC,27824,M,N,6500,6.0,0,6600,0
Parthasarathy,Rudin,M,939,1000001,SAN JUAN,PR,921,S,Y,17500,0.0,0,0,0
Brenan,Eustace,M,205,1000000,FOREST HOME,AL,36030,M,N,79000,5.0,0,3000,0
Annika,Devries,F,208,1000001,MULLAN,ID,83846,M,N,89500,7.8,0,6600,0
Yuksel,Marakhovsky,M,301,1000000,ESSEX,MD,21221,M,N,67500,4.75,0,4800,0
Shafi,Zervos,F,210,1000000,LUBBOCK,TX,79410,S,Y,34000,0.0,0,0,0
Sekhar,Sowerbutts,F,308,1000000,PENDER,NE,68047,S,Y,66000,6.84,103,0,103
Debanjan,Schrickx,F,503,1000000,PORTLAND,OR,97253,S,Y,71500,9.0,159,0,159
Marl,Emmart,M,856,1000000,CHESTER,NJ,7930,M,N,64500,2.101802,0,2000,0
Vladislav,Maxemchuk,M,207,1000003,BATH,ME,4530,M,Y,63000,8.5,0,5700,2850
Yannik,Westin,F,202,1000002,WASHINGTON,DC,20406,S,N,63500,9.0,1370,0,0
Dwight,Wijesekera,F,703,1000000,GLEN ALLEN,VA,23059,M,N,98000,5.75,0,1800,0
Eija,Medvidovic,F,505,1000001,ALBUQUERQUE,NM,87184,S,Y,93500,5.3,3300,0,3300
Suleyman,Zisapel,F,775,1000000,JEAN,NV,89019,M,N,38500,0.0,0,0,0
Achille,Nuseibeh,M,864,1000001,TRENTON,SC,29847,S,Y,73500,7.0,3300,0,3300
Manuel,Gottsman,F,985,1000001,BELLE ROSE,LA,70341,S,Y,40000,6.0,4500,0,1000
Richa,Molyneaux,F,870,1000000,PARON,AR,72122,M,N,74000,7.0,0,40,0
Hucang,Ozhan,M,203,1000001,CHESHIRE,CT,6411,M,N,13500,5.0,0,24500,0
Javier,Eichenberger,M,939,1000002,GUAYNABO,PR,971,S,Y,74500,0.0,0,0,0
Samudra,Fernald,F,202,1000003,WASHINGTON,DC,20447,M,N,23000,7.425,0,2740,0
Carme,Dinsenmeyer,F,907,1000002,PETERSBURG,AK,99833,M,N,46500,0.0,0,0,0
Wentai,Anstee,M,765,1000001,ALAMO,IN,47916,S,Y,58000,3.4,1000,0,1000
LiWu,Hinterberger,F,567,1000001,SEVILLE,OH,44273,S,Y,74000,3.0024462,1300,0,1300
Yukihide,Accomazzi,M,410,1000000,KENSINGTON,MD,20891,S,Y,23000,4.75,2400,0,2400
Vasilii,Dessi,M,571,1000000,WAVERLY,VA,23890,M,N,35500,5.75,0,1800,0
Sabah,Thistlewaite,F,484,1000000,SNYDERTOWN,PA,17877,S,Y,71500,3.07,0,0,0
Avra,Swist,F,228,1000001,HATTIESBURG,MS,39404,M,N,61000,5.0,0,12000,0
Masao,Lawry,F,240,1000000,SILVER SPRING,MD,20907,M,N,73000,4.75,0,4800,0
Hana,Leban,M,804,1000000,EAST STONE GAP,VA,24246,M,N,100000,5.75,0,1800,0
Frederique,Miner,F,360,1000000,ACME,WA,98220,M,N,44000,0.0,0,0,0
Tomyyuki,Zador,M,907,1000003,HOONAH,AK,99829,S,Y,80000,0.0,0,0,0
Gisbert,Seneviratne,F,302,1000001,WILMINGTON,DE,19806,M,N,7000,2.3363638,0,220,0
Abelardo,Haberman,M,406,1000001,MARYSVILLE,MT,59640,S,Y,64000,6.9,1900,0,1900
Ruth,Prete,M,307,1000000,LONETREE,WY,82936,S,Y,28500,0.0,0,0,0
Gultekin,Carrigan,F,630,1000000,HUMBOLDT,IL,61931,M,N,48000,3.0,0,4000,0
Nayla,Chepyzhov,M,808,1000002,HONOLULU,HI,96850,S,Y,9500,2.7519736,1040,0,1040
Vir,Rase,M,302,1000002,ODESSA,DE,19730,M,N,59500,5.915909,0,220,0
Kunikazu,Herley,M,304,1000001,CHARLESTON,WV,25301,M,Y,35500,4.785,0,4000,2000
Ramya,Unger,M,980,1000000,AVON,NC,27915,M,Y,8500,6.0,0,6600,3300
Tesuro,Smetana,F,952,1000000,HENDRUM,MN,56550,S,Y,18000,5.35,3300,0,3300
Hong,Penz,F,318,1000001,BATON ROUGE,LA,70826,S,Y,65500,6.0,4500,0,1000
Aamod,Staes,M,561,1000000,DUNNELLON,FL,34430,M,Y,67000,0.0,0,0,0
Devillers,Brownrigg,F,603,1000000,TEMPLE,NH,3084,S,Y,6500,0.0,0,0,0
Bassel,Harllee,M,229,1000000,MILLEDGEVILLE,GA,31061,M,N,39000,6.0,0,5400,0
Fanya,Kleiter,M,641,1000000,BLUE GRASS,IA,52726,S,Y,39500,6.262022,40,0,40
Yvette,Elliman,F,787,1000002,SAN JUAN,PR,926,M,Y,92000,0.0,0,0,0
Shachindra,Anker,M,203,1000002,STAMFORD,CT,6920,M,N,19000,5.0,0,24500,0
Miron,Casey,F,605,1000000,HURLEY,SD,57036,M,N,77500,0.0,0,0,0
Joel,Suri,F,202,1000004,WASHINGTON,DC,20216,S,N,95500,9.0,1370,0,0
Sonya,Tedrick,F,732,1000000,STONE HARBOR,NJ,8247,S,Y,45000,1.7942708,1000,0,1500
Tich,Elston,F,970,1000000,BURNS,CO,80426,M,N,31000,4.63,0,0,0
Nihal,Kitayama,M,304,1000002,STEPHENSON,WV,25928,M,N,72500,6.5,0,4000,0
Mette,Karuno,F,775,1000001,ELKO,NV,89801,M,N,31500,0.0,0,0,0
Loren,Takkinen,F,615,1000000,CLEVELAND,TN,37312,M,N,93500,0.0,0,0,0
Naim,Hernan,M,435,1000002,IVINS,UT,84738,S,Y,46500,7.0,2475,0,2475
Bertram,Stavenow,M,937,1000000,REYNOLDSBURG,OH,43068,S,Y,500,0.712,1300,0,1300
Hermann,Gastner,F,410,1000001,CROFTON,MD,21114,S,Y,72000,4.75,2400,0,2400
Rasikan,Guttman,F,207,1000004,ROXBURY,ME,4275,S,Y,42000,8.5,2850,0,2850
Luis,Basagni,M,678,1000001,CLIMAX,GA,39834,M,N,26500,6.0,0,5400,0
Flaminia,Masaki,M,302,1000003,NEWARK,DE,19702,S,Y,2000,2.2,110,0,110
Sibsankar,Woeginger,M,605,1000001,LOWER BRULE,SD,57548,S,Y,37000,0.0,0,0,0
Eithan,Mesnard,F,401,1000001,SLATERSVILLE,RI,2876,M,N,29500,0.0,0,0,0
Teiji,Pohm,M,870,1000001,POWHATAN,AR,72458,S,Y,81000,7.0,20,0,20
Damianos,Grivas,F,913,1000000,GRIDLEY,KS,66852,M,N,97500,6.45,0,4500,0
Sergej,Telerman,F,270,1000000,COVINGTON,KY,41012,M,N,91500,6.0,0,40,0
Kienchung,Corazza,M,307,1000001,FAIRVIEW,WY,83119,S,Y,50000,0.0,0,0,0
Topher,Rehm,F,947,1000000,GAYLORD,MI,49734,S,Y,47500,3.9,3100,0,3100
Joycelyne,Zykh,F,405,1000001,PONCA CITY,OK,74602,S,Y,46000,6.25,1000,0,1000
Belinda,Hitzelberger,M,405,1000002,WAINWRIGHT,OK,74468,M,N,50500,6.25,0,2000,0
Chikako,Kouzes,M,551,1000000,ELIZABETHPORT,NJ,7206,M,N,56500,1.9756354,0,2000,0
Rafik,Raha,F,620,1000000,BERRYTON,KS,66409,S,Y,99000,6.45,2250,0,2250
Dinos,Pericleous,F,860,1000001,FAIRFIELD,CT,6824,S,Y,18000,5.0,12750,0,0
Ascander,Tzolovski,F,623,1000000,STANFIELD,AZ,85272,M,N,38000,3.304,0,4200,0
Arvind,Gingras,M,262,1000000,GLEN HAVEN,WI,53810,M,N,28500,4.941595,0,1400,0
Ignace,Aberle,M,972,1000000,TRINITY,TX,75862,M,N,74000,0.0,0,0,0
Shahid,Yochum,F,775,1000002,LAS VEGAS,NV,89124,M,N,94000,0.0,0,0,0
Usko,Emery,F,603,1000001,CENTER STRAFFORD,NH,3815,M,Y,17000,0.0,0,0,0
Sanjaya,Bichler,M,860,1000002,TOLLAND,CT,6084,M,N,66500,5.0,0,24500,0
Chyuan,Napiorkowski,M,939,1000003,SAN JUAN,PR,901,S,Y,24500,0.0,0,0,0
Takafumi,Klerer,M,605,1000002,DAVIS,SD,57021,M,N,47000,0.0,0,0,0
AbdelAli,Braden,M,202,1000005,WASHINGTON,DC,20565,S,Y,35000,9.0,1370,0,1370
Ludger,Arefi,F,406,1000002,GARRYOWEN,MT,59031,S,Y,36000,6.9,1900,0,1900
Pedro,Grabczewski,M,641,1000001,CUMBERLAND,IA,50843,M,N,64500,8.98,0,80,0
Charley,Gente,F,618,1000000,FAIRMOUNT,IL,61841,S,Y,44500,3.0,2000,0,2000
Mack,Buy,M,606,1000000,ELLIOTTVILLE,KY,40317,S,Y,74000,5.9444447,20,0,20
Przemyslaw,Sandrasegaran,M,907,1000004,ANCHORAGE,AK,99519,S,Y,69500,0.0,0,0,0
Afzal,Harbusch,F,251,1000000,HODGES,AL,35571,S,Y,7500,5.0,1500,0,300
Wilfredo,Purvy,F,802,1000000,CHARLOTTE,VT,5445,M,N,29500,3.6,0,6600,0
Everald,Maassen,M,216,1000000,MONTVILLE,OH,44064,M,N,47500,2.1227822,0,2600,0
Bernad,Aichinger,F,769,1000000,LUCEDALE,MS,39452,M,N,14000,5.0,0,12000,0
Stellan,Bultheel,F,785,1000000,SPEARVILLE,KS,67876,S,Y,3500,3.5,2250,0,2250
Huizhu,Rozen,M,256,1000000,BAILEYTON,AL,35019,M,N,25000,5.0,0,3000,0
Guardian,Reghbati,M,352,1000000,EATON PARK,FL,33840,M,N,95500,0.0,0,0,0
Jinhua,Gorn,F,319,1000000,EARLING,IA,51530,S,Y,40500,6.4164004,40,0,40
Mischa,Depreitere,M,815,1000000,TABLE GROVE,IL,61482,S,Y,36000,3.0,2000,0,2000
Kensei,Ballinger,F,303,1000000,LITTLETON,CO,80129,M,N,62000,4.63,0,0,0
Demosthenes,Abraham,F,508,1000000,LYNN,MA,1905,M,N,25000,5.3,0,7150,0
Sanjoy,Winkelmann,F,469,1000000,EL PASO,TX,88558,M,N,53000,0.0,0,0,0
Martine,Druffel,F,931,1000000,SMYRNA,TN,37167,S,Y,65500,0.0,0,0,0
Oron,Skogmar,F,678,1000002,ATLANTA,GA,30312,M,N,18000,6.0,0,5400,0
Sribalan,Plummer,F,912,1000000,TRENTON,GA,30752,S,Y,26000,6.0,2700,0,3000
Anuchit,Peitgen,F,970,1000001,YAMPA,CO,80483,M,N,12500,4.63,0,0,0
Kazuhiro,Serlin,F,413,1000000,BOSTON,MA,2115,S,N,69000,5.3,3575,0,0
Jodi,English,F,307,1000002,THERMOPOLIS,WY,82443,M,N,69000,0.0,0,0,0
Keven,Freburger,M,202,1000006,PARCEL RETURN SERVICE,DC,56944,S,Y,51500,9.0,1370,0,1370
Steffo,Halfin,F,435,1000003,CLARKSTON,UT,84305,S,Y,76000,7.0,2475,0,2475
Venkatar,Pampoukis,M,939,1000004,BAJADERO,PR,616,S,Y,76500,0.0,0,0,0
Manuel,Urbano,F,305,1000000,FORT LAUDERDALE,FL,33312,M,N,4000,0.0,0,0,0
Hideharu,Kushner,M,603,1000002,INTERVALE,NH,3845,S,Y,98500,0.0,0,0,0
Enshao,Konakovsky,F,702,1000002,NIXON,NV,89424,M,N,62000,0.0,0,0,0
Choonsik,Grama,M,425,1000001,MATLOCK,WA,98560,M,N,15500,0.0,0,0,0
Paola,Coolsaet,F,401,1000002,FORESTDALE,RI,2824,M,N,48000,0.0,0,0,0
Serif,Sherman,F,802,1000001,LOWELL,VT,5847,M,N,61000,4.218749,0,6600,0
Kasturi,Uehara,M,307,1000003,WALCOTT,WY,82335,M,N,6000,0.0,0,0,0
Biplav,Bent,F,419,1000000,BOLIVAR,OH,44612,M,N,23000,1.3095077,0,2600,0
Vinny,Hardjono,F,808,1000003,HAKALAU,HI,96710,M,N,77500,8.25,0,2080,0
Liao,Michaylov,F,203,1000003,NEW HAVEN,CT,6513,S,Y,35500,5.0,12750,0,0
Tayeb,Romoli,F,281,1000000,HARROLD,TX,76364,S,Y,68500,0.0,0,0,0
Daeshik,Morganti,M,939,1000005,FORT BUCHANAN,PR,934,M,N,1500,0.0,0,0,0
Sheilah,Fattah,F,505,1000002,VEGUITA,NM,87062,S,Y,96000,5.3,3300,0,3300
Uttam,Lampert,M,231,1000000,PLAINWELL,MI,49080,M,N,34500,3.9,0,6200,0
Jinsei,Bustard,M,920,1000000,RADISSON,WI,54867,M,N,34500,5.045846,0,1400,0
Steffen,Ramanan,F,781,1000000,ERVING,MA,1344,M,N,76000,5.3,0,7150,0
Heon,Pavlovsky,M,313,1000000,MORRICE,MI,48857,S,Y,54500,3.9,3100,0,3100
Lorri,Borrmann,F,907,1000005,HOOPER BAY,AK,99604,M,N,81500,0.0,0,0,0
Joacheim,Lavin,F,661,1000000,GONZALES,CA,93926,M,Y,83000,9.3,0,174,272
Oswin,Broer,F,757,1000000,WOODBERRY FOREST,VA,22989,S,Y,19000,5.75,900,0,900
Shusaku,Glymidakis,F,918,1000001,SMITHVILLE,OK,74957,M,N,82500,6.25,0,2000,0
Gerhard,Cheshire,M,208,1000002,ARBON,ID,83212,S,Y,94000,7.8,3300,0,3300
Lorrie,Bergner,M,702,1000003,LAS VEGAS,NV,89141,S,N,95500,0.0,0,0,0
Weiyi,Dijkstra,F,501,1000000,HACKETT,AR,72937,S,Y,76500,7.0,20,0,20
Keyun,Gopfrich,F,843,1000000,GREENVILLE,SC,29601,S,N,15500,7.0,3300,0,0
Lucia,Uren,M,678,1000003,AMBROSE,GA,31512,M,N,91000,6.0,0,5400,0
Visalakshi,Asmussen,M,605,1000003,MEADOW,SD,57644,S,Y,94500,0.0,0,0,0
Dora,Michaelson,M,207,1000005,LIMINGTON,ME,4049,M,N,15500,7.1952558,0,5700,0
Colleen,Chretien,M,802,1000002,PITTSFORD,VT,5763,S,Y,8000,3.6,3300,0,3300
Izaskun,Maskas,M,401,1000003,SLOCUM,RI,2877,M,N,4000,0.0,0,0,0
Schuichi,Greco,M,617,1000000,BROCKTON,MA,2303,S,Y,64500,5.3,3575,0,1000
Rix,Frisse,M,303,1000001,SOMERSET,CO,81434,S,Y,48500,4.63,0,0,0
Chiara,Mendonca,F,505,1000003,RUIDOSO DOWNS,NM,88346,M,N,35000,5.3,0,6600,0
Shimeng,Rain,F,757,1000001,RESTON,VA,20193,M,N,13500,4.8125,0,1800,0
Johan,Wortmann,M,731,1000001,CHAPEL HILL,TN,37034,S,Y,33500,0.0,0,0,0
Royce,Tzruya,F,919,1000000,DURHAM,NC,27703,S,Y,84500,7.5052447,3300,0,3300
Eyas,Ullrich,M,701,1000002,MCHENRY,ND,58464,S,Y,48000,2.312138,3300,0,3300
Saul,Erman,M,270,1000001,UNION,KY,41091,S,Y,55500,4.916667,20,0,20
Thoddi,Lemarechal,M,270,1000002,INEZ,KY,41224,S,Y,76500,6.0,20,0,20
Yuhsi,Berstis,F,701,1000003,WARWICK,ND,58381,S,Y,46500,2.2947497,3300,0,3300
Lok,Thistlewaite,F,605,1000004,EUREKA,SD,57437,S,Y,16500,0.0,0,0,0
Vishesh,Cuhrov,M,405,1000003,HUGO,OK,74743,M,N,98000,6.25,0,2000,0
Its'hak,Ziegler,F,720,1000000,FORT LYON,CO,81038,S,Y,5500,4.63,0,0,0
Amitavo,Lobelle,M,580,1000001,TULSA,OK,74159,S,Y,91000,6.25,1000,0,1000
Zary,Flank,F,203,1000004,GLASTONBURY,CT,6033,S,Y,37000,5.0,12750,0,0
Reki,Stround,M,607,1000000,NEW YORK,NY,10043,S,Y,44500,4.211433,0,0,1000
Uminder,Hegenbarth,M,330,1000000,CARROLLTON,OH,44615,S,Y,13000,0.977559,1300,0,1300
Paulo,Isaac,M,302,1000004,WILMINGTON,DE,19808,S,Y,39500,4.552273,110,0,110
Meral,Aldous,F,719,1000000,COLORADO SPRINGS,CO,80932,M,N,63500,4.63,0,0,0
Sihai,Sanderson,M,804,1000001,CHESAPEAKE,VA,23321,M,N,30500,5.75,0,1800,0
Emeka,Impagliazzo,M,605,1000005,MORRISTOWN,SD,57645,M,N,16500,0.0,0,0,0
Miki,Wetherbe,M,270,1000003,CLAYHOLE,KY,41317,M,Y,42000,4.166667,0,40,20
Tatsurou,Sauder,M,660,1000000,PARK HILLS,MO,63601,S,Y,97500,6.0,2100,0,1200
Nataraj,Mehlenbacher,M,307,1000004,HAWK SPRINGS,WY,82217,M,N,73500,0.0,0,0,0
Gadi,Byrne,F,262,1000001,CALEDONIA,WI,53108,M,N,69500,5.653976,0,1400,0
Aju,Imbert,M,939,1000006,LARES,PR,669,S,Y,72500,0.0,0,0,0
Osman,Hoffert,F,802,1000003,EAST ARLINGTON,VT,5252,S,Y,25500,3.6,3300,0,3300
Khalid,Koepf,M,703,1000001,VIRGINIA BEACH,VA,23466,M,N,77500,5.75,0,1800,0
Basuki,Chilukuri,F,307,1000005,SHIRLEY BASIN,WY,82615,S,Y,5500,0.0,0,0,0
Minkai,Sinthupinyo,M,603,1000003,ERROL,NH,3579,M,N,42500,0.0,0,0,0
Hitofumi,Salmen,F,636,1000000,FORDLAND,MO,65652,M,N,42500,6.0,0,4200,0
Bienvenido,Kehtarnavaz,F,802,1000004,WILLISTON,VT,5495,S,Y,81000,4.616658,3300,0,3300
Hirotsugo,Compeau,F,802,1000005,NORTH HYDE PARK,VT,5665,S,N,29500,3.6,3300,0,0
Masadi,Dippoldsmann,F,509,1000001,KENT,WA,98030,S,Y,19500,0.0,0,0,0
Debasish,Grems,F,603,1000004,SPOFFORD,NH,3462,M,N,86500,0.0,0,0,0
Saeeiab,Feierbach,F,208,1000003,NAMPA,ID,83686,S,Y,95500,7.8,3300,0,3300
Ataru,Sippi,F,478,1000000,ATLANTA,GA,30339,S,Y,90000,6.0,2700,0,3000
Fuhua,Kruyt,M,718,1000000,MOUNTAIN DALE,NY,12763,S,Y,32000,4.1390243,0,0,1000
Freyja,Rozoy,F,808,1000004,PAPAIKOU,HI,96781,S,Y,99500,8.25,1040,0,1040
Debajyoti,Schloegel,F,947,1000001,MUNISING,MI,49862,S,Y,70000,3.9,3100,0,3100
Detmar,Seiwald,F,505,1000004,SANTA CLARA,NM,88026,M,N,11000,3.5857143,0,6600,0
Sasan,Racz,M,931,1000001,LEBANON,TN,37090,M,N,7500,0.0,0,0,0
Ingram,Siems,M,406,1000003,WYOLA,MT,59089,S,Y,95500,6.9,1900,0,1900
Hiroyoshi,Pelecq,M,406,1000004,GERALDINE,MT,59446,S,Y,75000,6.9,1900,0,1900
Wiebren,Sitarama,M,401,1000004,SMITHFIELD,RI,2917,M,N,51500,0.0,0,0,0
Shuji,Papelis,F,208,1000004,FIRTH,ID,83236,M,N,91000,7.8,0,6600,0
Ewan,Popa,F,518,1000000,WAWARSING,NY,12489,S,Y,71500,4.3678355,0,0,1000
Naomichi,Baur,F,410,1000002,TOWSON,MD,21204,M,N,63000,4.75,0,4800,0
Reynald,Philippow,M,307,1000006,EVANSTON,WY,82931,S,N,89500,0.0,0,0,0
Luan,Baratchart,F,605,1000006,TRAIL CITY,SD,57657,S,Y,19000,0.0,0,0,0
Ernest,Pinar,F,262,1000002,BURNETT,WI,53922,M,N,4500,4.6,0,1400,0
Silviu,Verdillon,M,225,1000000,KEITHVILLE,LA,71047,M,N,21500,4.88,0,9000,0
Moninder,Litzler,M,843,1000001,NORTH MYRTLE BEACH,SC,29597,M,N,85000,7.0,0,6600,0
Pavlos,Lapid,F,863,1000001,SAINT PETERSBURG,FL,33733,S,Y,87500,0.0,0,0,0
Bodhisattwa,Validov,F,910,1000001,WINTERVILLE,NC,28590,S,Y,18000,6.11014,3300,0,3300
Norwood,Oertly,M,601,1000001,UTICA,MS,39175,S,Y,86000,5.0,6000,0,1500
Raoul,Strassen,M,435,1000004,SALT LAKE CITY,UT,84147,M,N,83500,7.0,0,4950,0
Neila,Meddes,F,901,1000000,WHITLEYVILLE,TN,38588,S,Y,91000,0.0,0,0,0
Anne,Braschi,F,302,1000005,NEWARK,DE,19716,S,Y,71500,5.95,110,0,110
Xiaopeng,Shteto,M,410,1000003,CHAPTICO,MD,20621,S,Y,54500,4.75,2400,0,2400
Chunhong,Panadiwal,F,731,1000002,OLD FORT,TN,37362,M,N,8500,0.0,0,0,0
Earlin,Maccarone,M,515,1000000,BEAVER,IA,50031,S,Y,71000,8.98,40,0,40
Zuwang,Picht,M,502,1000000,GRETHEL,KY,41631,S,Y,4500,2.0833333,20,0,20
Othar,Conta,M,404,1000000,GUYTON,GA,31312,M,N,30500,6.0,0,5400,0
Yiwen,Villarreal,F,302,1000006,DOVER,DE,19901,M,N,66000,5.95,0,220,0
Zineb,Giaccio,M,717,1000000,GREENSBORO,PA,15338,M,N,14000,3.07,0,0,0
Narjes,Korjik,F,907,1000006,CORDOVA,AK,99574,M,N,54000,0.0,0,0,0
